81,Eastern Michigan University,Eastern Michigan,EasternMichigan,Eagles,MAC,eastmi
82,Eastern Washington University,Eastern Washington,EasternWash,Eagles,Big Sky,eastwa
83,Elon University,Elon,Elon,Phoenix,CAA,elon
84,University of Evansville,Evansville,Evansville,Purple Aces,Missouri Valley,evan
85,Fairfield University,Fairfield,Fairfield,Stags,MAAC,fair
86,Fairleigh Dickinson University,Fairleigh Dickinson,FairDickinson,Knights,Northeast,fdu
87,University of Florida,Florida,Florida,Gators,SEC,fla
88,Florida Agricultural and Mechanical University,Florida A & M,FloridaAM,Rattlers,MEAC,flaa&m
89,Florida Atlantic University,Florida Atlantic,FloridaAtlantic,Owls,Conference USA,flaatl
90,Florida Gulf Coast University,Florida Gulf Coast,FloridaGulfCoast,Eagles,Atlantic Sun,flagc
91,Florida International University,FIU,FloridaIntl,Panthers,Conference USA,fiu
92,Florida State University,Florida State,FloridaSt,Seminoles,ACC,flast
93,Fordham University,Fordham,Fordham,Rams,A-10,ford
94,"California State University, Fresno",Fresno State,FresnoSt,Bulldogs,Mountain West,fres
95,Furman University,Furman,Furman,Paladins,Southern,furman
96,Gardner-Webb University,Gardner-Webb,Gardner,Runnin' Bulldogs,Big South,g-webb
97,George Mason University,George Mason,GeorgeMason,Patriots,A-10,gmason
98,George Washington University,GW,GeorgeWashington,Colonials,A-10,gw
99,Georgetown University,Georgetown,Georgetown,Hoyas,Big East,gtown
100,University of Georgia,Georgia,Georgia,Bulldogs,SEC,uga
101,Georgia Southern University,Georgia Southern,GeorgiaSouthern,Eagles,Sun Belt,gaso
102,Georgia State University,Georgia State,GeorgiaSt,Panthers,Sun Belt,gast
103,Georgia Institute of Technology,Georgia Tech,GeorgiaTech,Yellow Jackets,ACC,gatech
104,Gonzaga University,Gonzaga,Gonzaga,Bulldogs,West Coast,gonz
105,Grambling State University,Grambling State,GramblingSt,Tigers,SWAC,gram
106,Grand Canyon University,Grand Canyon,GrandCanyon,Antelopes,WAC,gracan
107,University of Wisconsin-Green Bay,Green Bay,GreenBay,Phoenix,Horizon League,gb
108,Hampton University,Hampton,Hampton,Pirates,MEAC,hamp
109,University of Hartford,Hartford,Hartford,Hawks,America East,hart
110,Harvard University,Harvard,Harvard,Crimson,Ivy League,harv
111,University of Hawaii at Manoa,Hawaii,Hawaii,Rainbow Warriors,Big West,hawaii
112,High Point University,High Point,HighPoint,Panthers,Big South,highpt
113,Hofstra University,Hofstra,Hofstra,Pride,CAA,hof
114,College of the Holy Cross,Holy Cross,HolyCross,Crusaders,Patriot League,holycr
115,Houston Baptist University,Houston Baptist,HoustonBaptist,Huskies,Southland,houbap
116,Howard University,Howard,Howard,Pirates,MEAC,howard
117,University of Idaho,Idaho,Idaho,Vandals,Big Sky,idaho
118,Idaho State University,Idaho State,IdahoSt,Bengals,Big Sky,idast
119,University of Illinois at Urbana-Champaign,Illinois,Illinois,Fighting Illini,Big Ten,ill
120,Illinois State University,Illinois State,IllinoisSt,Redbirds,Missouri Valley,illst
121,Indiana State University,Indiana State,IndianaSt,Sycamores,Missouri Valley,inst
122,Indiana University Bloomington,Indiana,Indiana,Hoosiers,Big Ten,ind
123,Iona College,Iona,Iona,Gaels,MAAC,iona
